Summary,Issue Type,Status,Project name,Project type,Description
Frequent webcomponents build failures during npm install,Bug,In Progress,Sakai,software,"Since the merging of SAK-50230, I have frequently experienced failed maven builds of webcomponents/tool/pom.xml during the npm install steps. The signature of these failures are random, though upstream warning messages like the following:Â 

{noformat}npm WARN tar TAR_ENTRY_ERROR EPERM: operation not permitted, {some_pathname_within_webcomponents}{noformat}

Refer to the attached â€œmvn-wc-build-failâ€ files for examples of webcomponent build failures.

To make builds more resilient against this issue, the npm cache likely now needs to be cleared before â€œnpm installâ€ runs. Since introducing this step in webcomponents/tool/pom.xml, Iâ€™ve not yet experienced another build failure nor the warnings cited above.

The OS I use is Oracle Linux 8.10 (a Red Hat distribution)."
Link migration not working for Peer Assignment instructions,Bug,Resolved,Sakai,software,"On a site which uses the course year for its ID, like â€˜SAK_12345_2023â€™
Link a resource on the peer assignment instructions.

Resource URL example:
{color:#0747a6}https://trunk-maria.nightly.sakaiproject.org/access/content/group/SAK_12345_2023/image.png{color}

If later you create a new site for the upcoming academic course ('SAK_12345_2024') and import the data from the previous site, the link will keep pointing to the previous site.
But instead the URL should be automatically updated with the corresponding year (there is an existing method for that in the code)."
LTI: choose custom icon input is too wide,Bug,Open,Sakai,software,"[https://sakaiproject.atlassian.net/browse/SAK-49346|https://sakaiproject.atlassian.net/browse/SAK-49346|smart-link] fixed the text field in the external tools form when the admin fills it out, but it didnâ€™t fix the text field in the pop-up when adding a tool to Lessons or editing it on the navigation.

!image-20240723-232119.png|width=903,height=550,alt=""image-20240723-232119.png""!



!image-20240723-232140.png|width=844,height=435,alt=""image-20240723-232140.png""!"
Dashboard: Announcement widget blank for any admin account,Bug,Open,Sakai,software,"The announcements widget on the user dashboard is always blank for any user who is a member of the administrative workspace.  This was likely due to it originally pulling from all sites that the user has access to, which for the admin is all of them. Now that the widgets should only be pulling from pinned sites, an admin user should also have a working Announcements widget. "
Test & Quizzes: Unique names are not checked when creating global variables manually,Bug,Open,Sakai,software,"In the process of creating a calculated question in the Test & Quizzes tool, when ""Extract Variables, Global Variables, Calculations, and Formulas from Question Text"" is clicked, it ensures that a global variable, a variable, and a formula do not share the same name. However, when creating a global variable manually, this check does not occur. As a result, errors occur due to name duplication."
T&Q: Calculated question rounding error for answer key,Bug,Open,Sakai,software,"The Answer key can display an incorrect value due to a rounding error for an edge case like the following.

For example, suppose a very precise and correct answer for a formula is â€œ2.6454798891706â€. Now suppose the formula is configured to display 3 decimal places for the correct answer. The answer key currently presents the correct answer with a rounding error.

* Currently: The answer key displays as 2.646.
* Expected: The answer key should display as 2.645.

This rounding error happens because SamigoExpressionParser.parse returns the string â€œ2.6455â€ as the answer, which is rounded again downstream (by some client code) to 2.646. These kinds of rounding errors could be prevented by modifying the parse method to return a string with an extra decimal place of precision (e.g., â€œ2.6548â€ would be rounded to the expected â€œ2.645â€).

For what itâ€™s worth, I encountered this problem by testing the following trigonometry example from the T&Q help document, How do I create a calculated question?Â 

Solve: COS({a}) * ({c} - {b}) = {{z}}

A studentâ€™s case arose where variable values resulted in:

COS(4.087) * (3.652 - 8.171)

Using a [+scientific calculator+|https://www.desmos.com/scientific] --with angles set to radians (instead of degrees)-- I discovered that a precise answer like 2.6454798891706 would be presented in the answer key as 2.646 instead of 2.645 (with the default setting of 3 decimal places)."
LTI-Assignments: console error when opening grading page for a group assignment: TypeError: Invalid protocol,Bug,Resolved,Sakai,software,"I created an assignment for a group submission. One student per group submitted and then the instructor attempted to grade.

See the assignments_LTI13 video starting at 8:13. I did not see any server errors, only the console error:

{noformat}classApi.js:36 
 Uncaught 
TypeError: Invalid protocol
    at classApi.js:36:13
    at F (classApi.js:142:43)
    at Temporal.Instant.toZonedDateTimeISO (classApi.js:437:42)
    at Temporal.Instant.toZonedDateTimeISO (classApi.js:10:16)
    at set epochMillis (SakaiDatePicker.js:47:37)
    at n.set [as epochMillis] (reactive-element.ts:756:14)
    at n._$AK (reactive-element.ts:1218:12)
    at n.attributeChangedCallback (reactive-element.ts:1148:10)
    at v.j (lit-html.ts:1910:39)
    at v._$AI (lit-html.ts:1883:12)
{noformat}

!image-20240722-221920.png|width=351,height=151,alt=""image-20240722-221920.png""!

This is also affecting 1.1 group assignments. See the video."
Dashboard tool should be more explicit about flex layout,Bug,Closed,Sakai,software,[https://sakaiproject.atlassian.net/browse/SAK-49917|https://sakaiproject.atlassian.net/browse/SAK-49917|smart-link] removed several important flex options to improve the mobile display. I believe removing them was a mistake.
Assignments: Date Picker doesn't include time on Firefox,Bug,Resolved,Sakai,software,When using Firefox. the new date picker in Assignments is not correct. It does not include the time or the Today link. 
Dashboard: Discussions widget not removing sites if user is no longer a member,Bug,Open,Sakai,software,"This is not a problem on Trunk, but is affecting 23.x

If a user is removed from a site, the discussions widget is not removing the site if there unread discussion posts or messages from before the user was removed."
LTI description is out of date in /direct,Bug,Closed,Sakai,software,"Discovered while testing [https://sakaiproject.atlassian.net/browse/SAK-23981|https://sakaiproject.atlassian.net/browse/SAK-23981|smart-link] The LTI description still refers to 2.x, which has been deprecated. 

!image-20240721-140543.png|width=967,height=78,alt=""image-20240721-140543.png""!

[https://ed.link/community/lti-a-history/|https://ed.link/community/lti-a-history/|smart-link] 

Note that [https://sakaiproject.atlassian.net/browse/SAK-23981|https://sakaiproject.atlassian.net/browse/SAK-23981|smart-link] needs to be back merged before this JIRA.  After that is merged, this should be easy to back merge as far back as you like. â€“ Chuck"
Rubrics: Rubrics locked after linked test is deleted,Bug,Resolved,Sakai,software,Rubric is still locked even after the test linked to it is deleted.
Test and Quizzes: Statistics are not displayed,Bug,Open,Sakai,software,Description: Statistics are not displayed after the student fills out a quiz - a table of the submitted text is displayed instead.
LTI - Remove k1 / pre-k1 cruft from portlet-util,Bug,Verified,Sakai,software,This removes some legacy code that allowed for an older version of the event tracking service to be used.  That old version was from pre 2009 - so it wonâ€™t be going back.  Also move a utility cover into basiclti-common to further cleanup portlet-util from code that did not belong there.
Update Apache commons lang 3.15.0,Bug,Resolved,Sakai,software,[https://commons.apache.org/proper/commons-lang/changes-report.html#a3.15.0|https://commons.apache.org/proper/commons-lang/changes-report.html#a3.15.0|smart-link] 
Rubrics: Unable to create rubric - SyntaxError: JSON.parse: unexpected end of data at line 1 column 1 of the JSON data,Bug,Open,Sakai,software,"I tested in Edge and Firefox to make sure this wasnâ€™t browser specific, but the ability to create a rubric is gone. I initially added a rubric, went into assignments and created an assignment. As a student, I realized the rubric wasnâ€™t there, went back into the instructor view, checked rubrics and the rubric I had initially created was gone and there is no button to create one now. I then went into Firefox and the button to create a rubric is gone there also.

There are no server errors but there is a console error:

{noformat}SyntaxError: JSON.parse: unexpected end of data at line 1 column 1 of the JSON data SakaiRubricsList.js:94:29
    getRubrics SakaiRubricsList.js:94
{noformat}

I created a second site and created a rubric in that site which actually stuck. The first site is still missing the rubric and the button to create one. Is it possible that this is another one of those where the issue only happens the first time on a fresh server?"
toolTitles in portal head need to be escaped if using quotes,Bug,Closed,Sakai,software,toolTitles appears in portal head as a JS array but doesnâ€™t properly escape quotes
"Upgrade to the latest version of ckeditor, CKEditor 5. CKEditor4 has been end of life since June 2023 and is no longer supported unless you buy a commercial support package.",Bug,Open,Sakai,software,"CKEditor reached the end of its supported life June 2023. This means that unless each buy a commercial support package, the Extended Support Model license, then there will be no more bug or security fixes. The solution to this is to either move to ckeditor 5 or maybe another editor altogether. This ticket will be used to explore the migration to CKEditor 5. It will cover plugins and theming and hopefully highlight any issues or compromises we will have to make."
SCORM: Error viewing results,Bug,Resolved,Sakai,software,"When viewing the next page of results in the SCORM player, there is a stacktrace displayed to the user. 

The logs show: 18-Jul-2024 13:29:57.519 ERROR [http-nio-20313-exec-19] o.s.w.m.h.ErrorPage.<init> org.apache.wicket.core.request.handler.ListenerInvocationNotAllowedException: Component rejected interface invocationComponent: [AjaxPagingNavigationIncrementLink [Component id = next]]

at org.apache.wicket.core.request.handler.ListenerRequestHandler.invoke(ListenerRequestHandler.java:245)

at org.apache.wicket.core.request.handler.ListenerRequestHandler.invokeListener(ListenerRequestHandler.java:209)

at org.apache.wicket.core.request.handler.ListenerRequestHandler.respond(ListenerRequestHandler.java:202)

at org.apache.wicket.request.cycle.RequestCycle$HandlerExecutor.respond(RequestCycle.java:910)

at org.apache.wicket.request.RequestHandlerExecutor.execute(RequestHandlerExecutor.java:63)

at org.apache.wicket.request.cycle.RequestCycle.execute(RequestCycle.java:294)

at org.apache.wicket.request.cycle.RequestCycle.processRequest(RequestCycle.java:255)

at org.apache.wicket.protocol.http.WicketFilter.processRequestCycle(WicketFilter.java:277)

at org.apache.wicket.protocol.http.WicketFilter.processRequest(WicketFilter.java:208)

at org.apache.wicket.protocol.http.WicketServlet.doGet(WicketServlet.java:137)

at javax.servlet.http.HttpServlet.service(HttpServlet.java:529)

at javax.servlet.http.HttpServlet.service(HttpServlet.java:623)

at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:209)

at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

at org.sakaiproject.util.RequestFilter.doFilter(RequestFilter.java:451)

at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178)

at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

at org.sakaiproject.scorm.ui.player.ScormSecurityFilter.doFilter(ScormSecurityFilter.java:41)

at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178)

at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

at org.apache.catalina.core.ApplicationDispatcher.invoke(ApplicationDispatcher.java:661)

at org.apache.catalina.core.ApplicationDispatcher.processRequest(ApplicationDispatcher.java:425)

at org.apache.catalina.core.ApplicationDispatcher.doForward(ApplicationDispatcher.java:330)

at org.apache.catalina.core.ApplicationDispatcher.forward(ApplicationDispatcher.java:294)

at org.sakaiproject.tool.impl.ActiveToolComponent$MyActiveTool.forward(ActiveToolComponent.java:508)

at org.sakaiproject.portal.charon.SkinnableCharonPortal.forwardTool(SkinnableCharonPortal.java:1377)

at org.sakaiproject.portal.charon.handlers.SiteHandler.doToolBuffer(SiteHandler.java:1294)

at org.sakaiproject.portal.charon.handlers.SiteHandler.bufferContent(SiteHandler.java:1128)

at org.sakaiproject.portal.charon.handlers.SiteHandler.doSite(SiteHandler.java:537)

at org.sakaiproject.portal.charon.handlers.SiteHandler.doGet(SiteHandler.java:289)

at org.sakaiproject.portal.charon.handlers.SiteHandler.doGet(SiteHandler.java:187)

at org.sakaiproject.portal.charon.SkinnableCharonPortal.doGet(SkinnableCharonPortal.java:795)

at javax.servlet.http.HttpServlet.service(HttpServlet.java:529)

at javax.servlet.http.HttpServlet.service(HttpServlet.java:623)

at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:209)

at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

at org.sakaiproject.util.RequestFilter.doFilter(RequestFilter.java:501)

at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178)

at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:51)

at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:178)

at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:153)

at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:167)

at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:90)

at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:481)

at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:130)

at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:93)

at org.apache.catalina.valves.RemoteIpValve.invoke(RemoteIpValve.java:768)

at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:74)

at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:343)

at org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:390)

at org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:63)

at org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:926)

at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1791)

at org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:52)

at org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1191)

at org.apache.tomcat.util.threads.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:659)

at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)

at java.base/java.lang.Thread.run(Thread.java:829)"
Date Manager: Tests & Quizzes blank due date warning,Bug,Open,Sakai,software,"If you have a test with auto-submit enabled, the due date cannot be blank. If you go to the test settings and try to null the due date (with autosubmit enabled), there is an error: â€œThe Due Date must be set to force submission of saved student work after the Due Date.â€

In Date Manager, if you null the due date of a test with autosubmit enabled, the message is â€œDue Date is required if the assessment has a Late Submission Deadline.â€ This is misleading, since itâ€™s not the late submission deadline (I have no late submissions enabled), but the auto-submit. 

The error should reference the auto-submit when that is enabled. "
Assignments: Moment is Broken in Grader,Bug,Verified,Sakai,software,"Re-submission and re-submission date is broken in Grader.  It looks like a problem with the moment polyfill.

I did some testing and it looks like the millisecond number being passed into the moment code is correct and something is going wrong in the polyfill.  Here is a line reference:

[https://github.com/sakaiproject/sakai/blob/master/webcomponents/tool/src/main/frontend/packages/sakai-date-picker/src/SakaiDatePicker.js#L46|https://github.com/sakaiproject/sakai/blob/master/webcomponents/tool/src/main/frontend/packages/sakai-date-picker/src/SakaiDatePicker.js#L46|smart-link] 

P.S. This is a lot easier now that tracebacks are more accurate and source code is available in web developer console."
Assignments-Rubrics: console errors when releasing grades from submissions page,Bug,Open,Sakai,software,"Found while verifying [https://sakaiproject.atlassian.net/browse/SAK-50010|https://sakaiproject.atlassian.net/browse/SAK-50010|smart-link] 

Assignments with a rubric, if theyâ€™re saved after grading and then on the submissions page the instructor clicks to release grades, there are console errors.

These errors do not appear if the instructor grades and releases within the submission, only if the Release Grades is clicked on the Submissions page.

These errors only display if there is a rubric attached to the assignment.

{noformat}TypeError: Cannot read properties of null (reading '_embedded')
TypeError: Cannot read properties of undefined (reading 'evaluations')
{noformat}



!image-20240717-225555.png|width=902,height=300,alt=""image-20240717-225555.png""!"
"In Conversations, Good Post and Reactions don't work on replies to a topic",Bug,Resolved,Sakai,software,"In Conversations, if you try to select the Good Post link, or add a Reaction to a reply post, there is a console error and the Good Post and/or Reaction does not get applied. 

This only happens when you try to add Good Post or Reaction on a reply to a topic, not on the initial topic post itself. "
Lessons: Assignment title can't remove due date/open date,Bug,Open,Sakai,software,"Assignment title is not properly updated when edited. Happens only for assignment lesson item, not other. Refer to attached video."
Lessons: Undescriptive error message when editing item,Bug,Open,Sakai,software,Error message displayed is not descriptive since it does not mention the exact field the error was encountered.Â 
Grader: Unable to save comments in Safari,Bug,Open,Sakai,software,"Iâ€™m only seeing this when using Safari. 

When using Grader, comments are not being saved. I do notice that the comments box in Safari is not the same as in other browsers, it inâ€™t the CKEditor (CKE load fails when the grader is loaded as indicated by console log messages). It also still keeps the echo of the prior student comments in the text editor. "
Update UnboundID LDAP SDK for Java 7.0.1,Bug,Resolved,Sakai,software,"We have just released version 7.0.1 of the [+UnboundID LDAP SDK for Java+|https://github.com/pingidentity/ldapsdk]. It is available for download from [+GitHub+|https://github.com/pingidentity/ldapsdk/releases] and [+SourceForge+|https://sourceforge.net/projects/ldap-sdk/files/], and it is available in the [+Maven Central Repository+|https://central.sonatype.com/artifact/com.unboundid/unboundid-ldapsdk/7.0.1]. You can find the release notes for this release (and all previous versions) at [https://docs.ldap.com/ldap-sdk/docs/release-notes.html|https://docs.ldap.com/ldap-sdk/docs/release-notes.html|smart-link] , but hereâ€™s a summary of the changes:

* We added a new {{MaximumIdleDurationLDAPConnectionPoolHealthCheck}} class that can be used to replace connections that have remained idle for longer than a specified length of time. We generally recommend setting a maximum connection age for the pool so that connections are automatically replaced after a given amount of time regardless of their activity, but the new health check can be used as an alternative if you want to keep active connections around as long as possible while also ensuring that idle connections are closed by the LDAP SDK before they might be closed by the LDAP server or by intermediate network equipment.
* We updated the in-memory directory server to improve its concurrency when processing operations that donâ€™t need to make changes to the data, including binds, searches, and compares.
* We added new {{Filter.createSubstringAssertion}} methods that can be used to create properly encoded string representations of substring assertions. This can be particularly helpful when you want to create an extensible matching filter using a substring matching rule.
* We updated the {{KeyStoreKeyManager}} and {{TrustStoreTrustManager}} classes to make it possible to use an alternative security provider when accessing the associated key or trust store. Weâ€™ve also made it possible to indicate whether the LDAP SDK should be allowed to access non-FIPS-compliant key stores when operating in FIPS 140-2-compliant mode.
* We fixed an issue in which the {{parallel-update}} tool would use an in-memory buffer to hold information about information to write to the reject file, but it would not automatically flush that buffer when changes are rejected. In some cases, this could introduce a significant delay between the time that a change is rejected and the time that a record of it was written to the specified log file.
* We fixed an issue with the {{manage-certificates}} tool that could prevent it from accessing the JVMâ€™s default trust store in cases where the LDAP SDK is operating in FIPS 140-2-compliant mode and the tool is invoked programmatically (as opposed to running it from the command line).
* We updated the command-line tool framework to make it possible for tools to expose arguments for generating a debug log file. All of the tools included with the LDAP SDK have been updated to provide this option, and you can use the {{--help-debug}} argument to see the applicable arguments.
* We updated the debug logging framework to make it possible to write debug messages, which are formatted as JSON objects, using a multi-line representation rather than the default single-line representation. People looking at the log messages may find the multi-line format easier to read.
* We added a new {{StaticUtils.setSystemPropertyIfNotAlreadyDefined}} method that can be used to set the value of a specified system property in the JVM, but only if itâ€™s not already set (in which case its current value will be preserved).
* We added client-side support for a new â€œverify passwordâ€ extended request in the Ping Identity Directory Server that properly authorized clients (under a restricted set of circumstances) can use to determine whether a given password is valid for a specified user without performing any other password policy processing.
* We updated the OID registry to include records for a number of collation matching rules supported in the Ping Identity Directory Server, ForgeRock OpenDJ, Oracle OUD, and other servers."
LTI Tools set to open in a new window require you to click a button to open the new window,Bug,Closed,Sakai,software,"The behavior of LTI tools set to open in a new window seems to have changed. In prior versions, selecting the â€œAlways open in popupâ€ setting for an LTI tool that is located in the site navigation resulted in a new window opening up when the tool link in the left nav is selected. (The behavior was similar to what happens now if you put a Web Content link in the left nav and tell it to open in a new window. Clicking on the item in the tool menu launches the new window automatically. )

However, the current behavior for LTI tools set to open in a new window is to display a button that says â€œOpen tool in a new windowâ€ and the user has to click that button to launch the tool. This is a change in behavior and requires more clicking to get to the tool, so some of our clients have complained about it.  

*Dev notes:* In investigating this, the new behavior was introduced in [https://sakaiproject.atlassian.net/browse/SAK-47878|https://sakaiproject.atlassian.net/browse/SAK-47878|smart-link] which is in master/25 and went back to 23.0 and 22.4.  The code in that Jira had two flaws: (1) It did not consult the toolâ€™s assertion about launching in a new page which can be (always, never, or let the content decide) and (2) the sakai-lti-popup webcomponent simply had no â€œplease auto press the button featureâ€.  The fix is simple and should back-merge easily to 22-x and 23-x."
"LTI-Assignments: LTI Tool Ignores the ""Always launch in Popup"" setting",Bug,Open,Sakai,software,"When adding an LTI tool, (doesnâ€™t matter if itâ€™s 1.1 or 1.3), the Launch in Popup settings seem to work well for all placements, (Lessons, Rich text editor, navigation), except for Assignments.

In Assignments, even if the setting is set to Always launch in Popup for the tool, if the checkbox within assignments (Load this tool in a new tab) is not checked, the tool will always load in an iframe.

If the checkbox is checked in assignments, then the student has to click twice to get to the tool (but it does open in a new tab/window): 1. Go to External Tool 2. Launch External Tool in New Window

* If the tool was added by an admin to always launch in popup, canâ€™t that setting be passed to assignments?
* When the assignment recognizes the tool is to be opened in a new window, canâ€™t that be done when clicking Go to External Tool?"
LTI: Modify order of items in the form to add an LTI tool,Feature Request,Open,Sakai,software,"There have been many improvements to LTI tools on trunk and for 1.3 tools it seems it is assumed that the Dynamic Registration will point to a ""resource picker"" with one or more tools (Deep Link launch). If the admin adds a single LTI tool (Resource Link launch), the admin needs to do multiple updates before the tool can be saved.

Once the Dynamic Registration process has finished, by default, the following values are set:

# *Allow tool title to be changed*: Allow
# *Allow launch URL to be changed*: Allow
# *Launch URL*
# *Indicate where in the Sakai User interface that these tools should appear*: all are checked except navigation
# *The launch URL for this tool must support at least one launch message type. Most tools support one or the other, but some tools do support both messages at one URL*.: The tool URL supports a ""resource picker"" experience with one or more tools (Deep Link launch)

Logically, the admin would go from top to bottom to modify the values as needed. Once 1 and 2 have been changed to Do not allow, the launch URL is changed, modifying where the tools should appear and the launch type, it gets complicated. 

It doesnâ€™t seem to matter which order they are modified, but #1 and #2 *automatically change back to â€œAllowâ€*. If the admin isnâ€™t aware that these values have changed (since they were modified first and assumed to be kept), the tool will be saved with the tool title and launch URL allowing to be changed.

If #5 were at the top, the launch type could be selected first, but this will only work if the selections for where the tools are to be placed arenâ€™t set by default. "
Discussions: Mark All Read,Feature Request,Open,Sakai,software,"If an instructor or student has a large number of unread posts in Discussions, there isnâ€™t a quick way to mark all within a topic, forum, or site as â€˜readâ€™. Currently, it has to be done on a conversation or post basis. I would like to see a â€œMark All As Readâ€ button within a fourm and topic to mark all posts as read at once."
Test & Quizzes: Update calculated questions instructions,Bug,Verified,Sakai,software,"Currently, the calculated questions instructions state the following:

{quote}Define variables in the question text by surrounding the variable name with single curly braces ( e.g. {x} and {y} )
Define global variables in the question text by surrounding the variable name with single at ( e.g. @x1@ and @y1@ )
+When a student views the question, variable and global variable placeholders will be replaced with the variable values+{quote}

Where it says, ""global variable placeholders will be replaced with the variable values"" this does not happen. When you use @x1@, the student sees the formula with the {} variables replaced . To see the value of the global variable, it must be written as a calculation: [[@x1@]]. Personally, I like it to work this way. It allows the teacher to print both the formula and the value on the screen.

With this in mind, I find it more convenient to update the instructions rather than correct the behavior:

{quote}Define variables in the question text by surrounding the variable name with single curly braces ( e.g. {x} and {y} )
Define global variables in the question text by surrounding the variable name with single at ( e.g. @x1@ and @y1@ )
+When a student views the question, variable placeholders will be replaced with the variable values. Global variable placeholders will be replaced with the formulas.+{quote}

{quote}Define formula placeholders in the question text by surrounding the formula name with double curly braces ( e.g. {{z}} )
When the student views the question, formula placeholders will be replaced with input boxes
+Internal calculations using the variables can be added using double square brackets [[]]. The calculation result will be shown in the question text (e. g. [[{x}+{y}]] or [[@x1@ + @y1@]]). Global variable placeholders will be replaced with their values using double square brackets [[]] (e.g., [[@x1@]]).+{quote}



!image-20240712-114816.png|width=468,height=222,alt=""image-20240712-114816.png""!



!image-20240712-114825.png|width=685,height=313,alt=""image-20240712-114825.png""!"
